2025-04-19 03:24:59,221 INFO    MainThread:30584 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-19 03:24:59,222 INFO    MainThread:30584 [wandb_setup.py:_flush():67] Configure stats pid to 30584
2025-04-19 03:24:59,222 INFO    MainThread:30584 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\.config\wandb\settings
2025-04-19 03:24:59,222 INFO    MainThread:30584 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_2\wandb\settings
2025-04-19 03:24:59,222 INFO    MainThread:30584 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-19 03:24:59,222 INFO    MainThread:30584 [wandb_init.py:setup_run_log_directory():662] Logging user logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_2\wandb\run-20250419_032459-7loc73m2\logs\debug.log
2025-04-19 03:24:59,223 INFO    MainThread:30584 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_2\wandb\run-20250419_032459-7loc73m2\logs\debug-internal.log
2025-04-19 03:24:59,223 INFO    MainThread:30584 [wandb_init.py:init():781] calling init triggers
2025-04-19 03:24:59,223 INFO    MainThread:30584 [wandb_init.py:init():786] wandb.init called with sweep_config: {'activation': 'mish', 'batch_norm': False, 'batch_size': 64, 'data_augmentation': True, 'dense_neurons': 128, 'dropout_rate': 0.17643730010086656, 'epochs': 10, 'filter_organization': 'half', 'filter_size': 3, 'learning_rate': 0.0010487932829924694, 'num_filters': 64}
config: {'data_dir': 'inaturalist_12K', 'seed': 42, 'img_size': 224, 'num_workers': 4, 'val_split': 0.2, 'wandb_project': 'CNN-iNaturalist-Scratch-Sweep', 'wandb_run_id': '7loc73m2', 'num_filters': 64, 'filter_size': 3, 'filter_organization': 'half', 'activation': 'mish', 'dense_neurons': 128, 'dropout_rate': 0.17643730010086656, 'batch_norm': False, 'data_augmentation': True, 'learning_rate': 0.0010487932829924694, 'batch_size': 64, 'epochs': 10, '_wandb': {}}
2025-04-19 03:24:59,223 INFO    MainThread:30584 [wandb_init.py:init():809] starting backend
2025-04-19 03:24:59,223 INFO    MainThread:30584 [wandb_init.py:init():813] sending inform_init request
2025-04-19 03:24:59,248 INFO    MainThread:30584 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-19 03:24:59,248 INFO    MainThread:30584 [wandb_init.py:init():823] backend started and connected
2025-04-19 03:24:59,249 INFO    MainThread:30584 [wandb_run.py:_config_callback():1327] config_cb None None {'activation': 'mish', 'batch_norm': False, 'batch_size': 64, 'data_augmentation': True, 'dense_neurons': 128, 'dropout_rate': 0.17643730010086656, 'epochs': 10, 'filter_organization': 'half', 'filter_size': 3, 'learning_rate': 0.0010487932829924694, 'num_filters': 64}
2025-04-19 03:24:59,249 INFO    MainThread:30584 [wandb_init.py:init():915] updated telemetry
2025-04-19 03:24:59,252 INFO    MainThread:30584 [wandb_init.py:init():939] communicating run to backend with 300.0 second timeout
